page	sort	Uppercase	Title Case	Title for Indexing	Disambiguation Key	Uppercase + Key	Title + Key	Indexing + Key	Short Attribution	Italicize short attribution?	Living composer / arranger?	Arr. status
132	132	SINNER’S FRIEND	Sinner’s Friend	Sinner’s Friend		SINNER’S FRIEND	Sinner’s Friend	Sinner’s Friend	Rees		-	Arr.
133	133	HEBREW CHILDREN	Hebrew Children	Hebrew Children		HEBREW CHILDREN	Hebrew Children	Hebrew Children	White		-	Arr. from
134	134	THE CHRISTIAN’S HOPE	The Christian’s Hope	Christian’s Hope, The		THE CHRISTIAN’S HOPE	The Christian’s Hope	Christian’s Hope, The	Walker		-	
135	135	OLNEY	Olney	Olney		OLNEY	Olney	Olney	Tennessee Harmony	yes	-	Arr.
136	136	MORALITY	Morality	Morality		MORALITY	Morality	Morality	Wyeth’s Repository	yes	-	Arr.
137	137	LIBERTY	Liberty	Liberty		LIBERTY	Liberty	Liberty	Jenks		-	
138t	138.1	ADORATION	Adoration	Adoration		ADORATION	Adoration	Adoration	Parks		-	
138b	138.2	OGLETREE	Ogletree	Ogletree		OGLETREE	Ogletree	Ogletree	Brown		-	
139	139	ELYSIAN	Elysian	Elysian		ELYSIAN	Elysian	Elysian	Songs of Zion	yes	-	Arr.
140	140	MORENO	Moreno	Moreno		MORENO	Moreno	Moreno	Ceresa		Living	
141	141	COMPLAINER	Complainer	Complainer		COMPLAINER	Complainer	Complainer	Walker		-	
142	142	STRATFIELD	Stratfield	Stratfield		STRATFIELD	Stratfield	Stratfield	Goff		-	
143	143	PLEYEL’S HYMN SECOND	Pleyel’s Hymn Second	Pleyel’s Hymn Second		PLEYEL’S HYMN SECOND	Pleyel’s Hymn Second	Pleyel’s Hymn Second	Pleyel		-	Arr. from
144	144	JUBILEE	Jubilee	Jubilee		JUBILEE	Jubilee	Jubilee	Kentucky Harmony	yes	-	
145t	145.1	WARRENTON	Warrenton	Warrenton		WARRENTON	Warrenton	Warrenton	Southern Harmony	yes	-	Arr.
145b	145.2	SWEET AFFLICTION	Sweet Affliction	Sweet Affliction		SWEET AFFLICTION	Sweet Affliction	Sweet Affliction	Rousseau		-	Arr. from
146	146	HALLELUJAH	Hallelujah	Hallelujah		HALLELUJAH	Hallelujah	Hallelujah	Walker		-	
147t	147.1	BOYLSTON	Boylston	Boylston		BOYLSTON	Boylston	Boylston	Mason		-	
147b	147.2	LABAN	Laban	Laban		LABAN	Laban	Laban	Mason		-	
148	148	JEFFERSON	Jefferson	Jefferson		JEFFERSON	Jefferson	Jefferson	Tennessee Harmony	yes	-	
149	149	THE TRUMPET	The Trumpet	Trumpet, The		THE TRUMPET	The Trumpet	Trumpet, The	Williams		-	
150	150	AMITY	Amity	Amity		AMITY	Amity	Amity	Read		-	
